ds,y
31-Jan-2016,5225094.97
1-Feb-2016,4379594.97
2-Feb-2016,5250583.15
3-Feb-2016,3950681.65
4-Feb-2016,3919851.79
5-Feb-2016,4849032.05
6-Feb-2016,5401694.79
7-Feb-2016,3731865.64
8-Feb-2016,3292903.80
9-Feb-2016,3660536.40
10-Feb-2016,4979890.02
11-Feb-2016,5647997.56
12-Feb-2016,6661760.36
13-Feb-2016,6886953.72
14-Feb-2016,4951413.21
15-Feb-2016,3799633.96
16-Feb-2016,3971127.90
17-Feb-2016,3966562.27
18-Feb-2016,4222435.26
19-Feb-2016,4784449.89
20-Feb-2016,5113982.20
21-Feb-2016,3936837.10
22-Feb-2016,3464152.70
23-Feb-2016,3759542.81
24-Feb-2016,5561599.79
25-Feb-2016,4657405.45
26-Feb-2016,5384361.97
27-Feb-2016,6428705.22
28-Feb-2016,4277246.39
29-Feb-2016,3591205.66
1-Mar-2016,3866783.04
2-Mar-2016,4182223.02
3-Mar-2016,4069440.37
4-Mar-2016,4689368.83
5-Mar-2016,5198199.23
6-Mar-2016,4018801.99
7-Mar-2016,3387665.40
8-Mar-2016,3713980.70
9-Mar-2016,4266359.81
10-Mar-2016,4161001.51
11-Mar-2016,4792947.64
12-Mar-2016,5585178.00
13-Mar-2016,4228037.86
14-Mar-2016,3765909.06
15-Mar-2016,3913315.40
16-Mar-2016,6639038.70
17-Mar-2016,5469069.74
18-Mar-2016,5806273.91
19-Mar-2016,6573108.59
20-Mar-2016,5255498.84
21-Mar-2016,4522537.67
22-Mar-2016,5431395.05
23-Mar-2016,4091851.10
24-Mar-2016,4161899.54
25-Mar-2016,5082272.44
26-Mar-2016,5034778.17
27-Mar-2016,2729378.48
28-Mar-2016,3413784.48
29-Mar-2016,3541928.80
30-Mar-2016,4698678.97
31-Mar-2016,4758012.13
2-Apr-2016,8899656.14
3-Apr-2016,7693173.37
4-Apr-2016,3674365.50
5-Apr-2016,3781554.66
6-Apr-2016,4031427.81
7-Apr-2016,4063529.65
8-Apr-2016,4824723.92
9-Apr-2016,4887857.04
10-Apr-2016,3803851.29
11-Apr-2016,3331481.59
12-Apr-2016,3597376.02
13-Apr-2016,6408132.18
14-Apr-2016,5752705.48
15-Apr-2016,6385554.83
16-Apr-2016,6866303.24
17-Apr-2016,5429229.18
18-Apr-2016,4444586.27
19-Apr-2016,5112248.72
20-Apr-2016,4600119.37
21-Apr-2016,4244790.78
22-Apr-2016,5352802.14
23-Apr-2016,5601570.80
24-Apr-2016,4344670.40
25-Apr-2016,3828065.97
26-Apr-2016,4361271.18
27-Apr-2016,5422941.39
28-Apr-2016,5059985.09
29-Apr-2016,7561461.49
30-Apr-2016,7171064.42
1-May-2016,5703963.27
2-May-2016,4200422.72
3-May-2016,4234815.51
4-May-2016,5602085.20
5-May-2016,5041350.44
6-May-2016,5871091.82
7-May-2016,6599413.03
